author,time,content
Ẩn danh,,Nhóm của Fisafe: Ý tưởng đầu tư Chứng khoán
Ẩn danh,,"CỘNG ĐỒNG CHỨNG KHOÁN (Chính thức) Nhóm Công khai   · 451,0K thành viên Tham gia nhóm Chia sẻ"
Ẩn danh,2025-10-02 17:19:15,"Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Gần đây mình thấy thị trường thay phiên kéo trụ, mấy hôm trước là dòng Vin, giờ đến dòng bank để giữ nhịp cho thị trường, sắp tới có thể tới các trụ khác như HPG, MWG, MSN ... đều đang tích lũy quanh MA20 và MA50
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.  Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.
Giai đoạn thị trường sideway quanh mốc 1600-1700, anh chị em đang nắm giữ cổ phiếu nào comment bên dưới để em phân tích cho mình có cơ sở nắm giữ hoặc chốt lời nhé.
Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20
Phân tích cơ bản lẫn phân tích kỹ thuật, em dân kinh tế, giao dịch chứng khoán lẫn Trade FX, không phân tích kiểu học 10 hiểu 1 nói 20"
Ẩn danh,,Bạn viết gì đi... Thăm dò ý kiến Cảm xúc/hoạt động Check in
Ẩn danh,,Đáng chú ý 6 mục mới Huy hiệu nội dung đáng chú ý
Ẩn danh,2025-10-02 17:19:15,Người tham gia ẩ·  PC1 cầm giá 27. VDS cầm giá 26 liệu có về bờ được không các bác.
Ẩn danh,,Người tham gia ẩ·
Ẩn danh,,Người tham gia ẩn danh
Ẩn danh,,PC1 cầm giá 27. VDS cầm giá 26 liệu có về bờ được không các bác.
Ẩn danh,,Xem thêm bình luận
